lastUpdated,title,url
" This page was last edited on 17 July 2022, at 10:41",Kevin Bacon,https://en.wikipedia.org/wiki/Kevin_Bacon
" This page was last edited on 10 July 2022, at 10:00", (TV series),https://en.wikipedia.org/wiki/I_Love_Dick_(TV_series)
" This page was last edited on 2 March 2021, at 15:35",SixDegrees.org,https://en.wikipedia.org/wiki/SixDegrees.org
" This page was last edited on 22 July 2022, at 14:28",Streaming television,https://en.wikipedia.org/wiki/Streaming_television
" This page was last edited on 25 July 2022, at 13:59",Six Degrees of Kevin Bacon,https://en.wikipedia.org/wiki/Six_Degrees_of_Kevin_Bacon
" This page was last edited on 13 May 2022, at 15:50",Golden Globe Award for Best Actor – Television Series Musical or Comedy,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Actor_%E2%80%93_Television_Series_Musical_or_Comedy
" This page was last edited on 25 July 2022, at 15:41",Golden Globe Awards,https://en.wikipedia.org/wiki/Golden_Globe_Award
" This page was last edited on 23 July 2022, at 17:44",[<Selector xpath='//h1/i/text()' data='The Guardian'>],https://en.wikipedia.org/wiki/The_Guardian
" This page was last edited on 22 July 2022, at 16:17",Primetime Emmy Awards,https://en.wikipedia.org/wiki/Primetime_Emmy_Award
" This page was last edited on 22 July 2022, at 16:02",[<Selector xpath='//h1/i/text()' data='Taking Chance'>],https://en.wikipedia.org/wiki/Taking_Chance
" This page was last edited on 25 July 2022, at 22:12",EE Limited,https://en.wikipedia.org/wiki/EE_Limited
" This page was last edited on 26 June 2022, at 09:30",[<Selector xpath='//h1/i/text()' data='The Following'>],https://en.wikipedia.org/wiki/The_Following
" This page was last edited on 17 June 2022, at 15:25",Main Page,https://en.wikipedia.org/wiki/Main_Page
" This page was last edited on 26 June 2022, at 19:27",Screen Actors Guild Awards,https://en.wikipedia.org/wiki/Screen_Actors_Guild_Award
" This page was last edited on 22 July 2022, at 15:50",HBO,https://en.wikipedia.org/wiki/HBO
" This page was last edited on 27 June 2022, at 04:28",Trove,https://en.wikipedia.org/wiki/Trove_(identifier)
" This page was last edited on 25 June 2021, at 19:17",Système universitaire de documentation,https://en.wikipedia.org/wiki/SUDOC_(identifier)
" This page was last edited on 23 July 2022, at 22:01",Academy Awards,https://en.wikipedia.org/wiki/Academy_Award
" This page was last edited on 23 July 2022, at 22:27",Hollywood Walk of Fame,https://en.wikipedia.org/wiki/Hollywood_Walk_of_Fame
" This page was last edited on 27 January 2022, at 02:50",Library Network of Western Switzerland,https://en.wikipedia.org/wiki/RERO_(identifier)
" This page was last edited on 23 July 2022, at 00:09",Portia de Rossi,https://en.wikipedia.org/wiki/Portia_De_Rossi
" This page was last edited on 14 April 2022, at 10:22",[<Selector xpath='//h1/i/text()' data='Belfast Telegraph'>],https://en.wikipedia.org/wiki/The_Belfast_Telegraph
" This page was last edited on 26 June 2022, at 17:27", (magazine),https://en.wikipedia.org/wiki/Variety_(magazine)
